,"Total, MF (€)","Total, M (€)","Total, F (€)","Primary CAE: A, MF (€)","Primary CAE: A, M (€)","Primary CAE: A, F (€)","Secondary CAE: B - F, MF (€)","Secondary CAE: B - F, M (€)","Secondary CAE: B - F, F (€)","Tertiary CAE: G - U, MF (€)","Tertiary CAE: G - U, M (€)","Tertiary CAE: G - U, F (€)"
Sines,1869.48,2164.36,1279.33,896.6,903.75,852.7,2500.56,2599.57,2054.04,1331.3,1610.2,1018.15
Baixo Alentejo,1129.81,1244.9,977.15,898.94,914.31,838.93,1524.17,1578.85,1307.82,1009.81,1122.19,938.4
Aljustrel,1184.33,1315.38,947.4,983.63,998.48,895.08,1388.39,1406.86,1268.55,997.32,1250.56,875.48
Almodôvar,904.66,995.66,845.43,882.55,920.06,807.52,745.88,755.09,728.34,945.38,1138.48,861.29
Alvito,1003.33,1086.1,910.92,996.98,1035.72,803.3,1013.87,1033.8,897.16,1001.26,1169.19,919.17
Barrancos,825.43,839.86,808.03,724.01,721.34,736.84,821.64,834.81,792.27,857.7,929.51,819.63
Beja,1102.31,1152.14,1043.28,929.95,945.17,852.74,1330.82,1319.86,1360.87,1088.96,1178.11,1021.41
Castro Verde,1796.19,1996.92,1262.76,823.81,827,810.48,2287.09,2261.97,2507.18,976.43,1128.53,880.66
Cuba,954.75,997.49,879.03,952.78,981.06,757,850.55,852.92,837.69,1029.65,1290.34,901.96
Ferreira do Alentejo,979.45,1024.8,912.91,938.01,948.4,908.97,1014.86,1022,972.26,1011.58,1201.08,909.98
Mértola,861.35,849.29,874.08,879.62,871.92,908.45,746.63,752.09,726.52,887.27,894.08,883.73
Moura,935.55,963.54,899.3,783.05,808.76,674.4,1062.03,1106.97,935.06,951.19,993.08,922.12
Ourique,892.65,916.43,873.46,763.67,774.69,709.45,900.44,932.43,854.86,910.57,963.8,884.88
Serpa,888.58,919.43,852.59,853.92,869.61,802.23,888.07,925.29,814.38,906.4,967.17,869.02
Vidigueira,956.33,1047.97,873.95,968,992.09,910.18,968.67,1013.88,922.87,944.21,1138.07,848.58
Lezíria do Tejo,1037.32,1098.36,957.75,933.92,976.17,853.36,1110.75,1159.29,999.26,1015.25,1077.82,955.04
Almeirim,956.61,1012.09,887.98,932.51,989.23,835.59,1087.2,1091.76,1074.55,903.58,961.39,856.21
Alpiarça,946.19,1034.21,843.29,1054.7,1110.78,952.45,999.66,1037.79,912.35,841.82,953.8,784.27
Azambuja,1040.86,1054.8,1016.4,1037.47,1071.21,914.23,1088.43,1145.31,980.32,1032.4,1037.11,1024.44
Benavente,1093.75,1187.11,959.34,992.58,1048.91,890.49,1219.49,1276.17,1073.14,1019.42,1121.45,922.36
Cartaxo,1028.65,1111.79,937.51,949.15,987.93,885.16,1197.47,1224.62,1121.22,946.19,1019.09,897.84
Chamusca,975.97,1027.72,905.53,894.18,941.66,799.77,1015.13,1014.33,1017.48,968.86,1121.23,881.57
Coruche,1012.84,1100.35,903.66,955.26,997.7,876.05,1147.13,1198.15,1039.53,959.16,1076.95,865.4
Golegã,973.66,1124.69,851.87,875.32,945.43,736.96,1034.81,1076.33,975.32,966.18,1268.73,826.85
Rio Maior,1040.41,1120.1,935.15,884.18,901.78,853.12,1097.25,1150.23,1001.67,1000.19,1117.83,893.13
Salvaterra de Magos,986.49,1074.66,872.35,969.3,1048.51,835.04,991.25,984.81,1014.7,987.49,1140.53,853.93
Santarém,1065.27,1112.83,1011.24,816.43,819.62,809.83,1089.7,1168.35,912.73,1072.97,1108.78,1043.12
Alto Alentejo,989.48,1071.83,900.29,897.14,916.05,836.78,1090.74,1122.26,1008.94,963.9,1088.02,884.04
Alter do Chão,882.12,963.36,828.56,867.73,881.96,822.49,1092.44,1134.24,774.76,850.61,944.86,830.55
Arronches,898.84,879.43,915.66,892.57,899.64,815.79,755.66,765.46,732.5,918.37,894.94,928.83
Avis,955.14,1057.6,849.08,915.25,927.64,885.89,1006.8,1113.37,880.27,896.03,1050.66,807.03
Campo Maior,1281.98,1366.43,1171.93,967.64,954.25,1010.15,1269.66,1341.84,1147.79,1361.8,1546.02,1204.23
Castelo de Vide,892.1,942.79,854.49,879.73,937.47,671.87,968.84,965.41,987.58,871.76,925.38,850.18
Crato,833.53,858.08,815.35,782.82,807.78,722.49,764.7,766.42,761.26,861.38,932.68,829.12
Elvas,891.96,929.59,846.63,890.38,905.49,834.07,929.27,927.4,937.09,884.92,938.39,841.31
Fronteira,944.57,1020.07,852.08,994.2,1030.65,888.25,834.34,840.1,818.4,940.16,1102.08,845.83
Gavião,854.48,1103.75,733.05,1141.83,1198.06,818.51,1001.36,1041.44,841.03,788.58,1105.81,725.83
Marvão,799.69,833.42,775.64,782.63,725.88,912.33,861.49,838.67,1021.2,785.26,854.71,759.42
Monforte,1020.27,1117.26,913.67,1001.21,1025.92,921.17,872.8,892.53,823.48,1047.92,1233.17,918.78
Nisa,830.13,920.06,775.07,715.66,727.63,673.76,854.19,936.17,692.56,836.25,968.13,787.42
Ponte de Sor,1030.14,1155.73,895.3,826.41,858.95,754.27,1082.05,1136.72,911.97,1041.11,1259.55,904.19
Portalegre,991.03,1063.79,903.83,852.06,880.07,756.01,1150.81,1151.36,1148.2,926.78,1002.7,874.39
Sousel,925.35,990.29,831.67,878.28,908.64,779.2,948.95,973.72,915.54,937.64,1060.58,809.26
Alentejo Central,1045.47,1123.57,953.23,925.28,948.93,858.51,1142.77,1176.23,1055.05,1016.72,1129.08,936.14
Alandroal,904.16,957.22,849.09,822.88,840.75,768.42,1002.85,1124.52,877.59,872.98,917.54,852.4
Arraiolos,972.03,1065.57,872.13,1124.64,1175.54,1006.45,972.48,1004.16,900.01,892.96,999.88,834.77
Borba,966.21,1028.67,900.71,939.44,952.29,908.23,1047.53,1089.37,969.94,912.16,981.19,871.75
Estremoz,998.18,1097.74,890.97,888.76,904.88,846.9,1036.16,1074.19,960.73,1001.8,1151.43,881.25
Évora,1122.02,1197.4,1028.81,991.03,1032.74,820.37,1227.14,1251.91,1155.33,1082.48,1175.23,1006.69
Montemor-o-Novo,973.6,1036.85,896.76,899.16,913.02,865.62,1053.13,1065.98,991.72,962.47,1083.24,889.86
Mora,981.25,1172.72,825.24,839.73,893.44,726.35,1297.67,1415.94,933.27,905.77,1117.61,823.81
Mourão,889.02,934.86,842.27,812.86,849.72,704.91,923.57,881.01,1054.54,900.98,1012.17,835.52
Portel,966.02,1071.16,885.3,1117.16,1131.51,1085.65,941.54,957.57,909,913.35,1088.42,848.59
Redondo,967.83,1013.76,893.65,831.59,838.26,813.81,1070.12,1072.95,1062.79,978.02,1119.54,853.03
Reguengos de Monsaraz,937.69,981.55,892.74,792.04,803.13,759.01,1013.83,1050.46,944.85,929.95,993.88,889.43
Vendas Novas,1050.1,1141.74,953.25,820.19,826.31,799.05,1143.87,1210.71,1043.34,986.97,1111.77,902.76
Viana do Alentejo,908.95,945.7,865.32,897.74,898.41,894.61,849.14,860.99,809.76,936.86,1061.32,870.24
Vila Viçosa,1065.27,1140.49,926.17,839.53,884.98,768.84,1171.55,1187.23,1074.62,961.45,1057.53,893.97
Algarve,1029.01,1089.9,963.02,999.27,1032.92,906.8,1009.1,1015.59,981.69,1033.26,1113.91,962.89
Albufeira,1004.45,1059.25,947.18,1073.53,1005.04,1163.19,1061.57,1072.22,1007.52,999.5,1058.17,944
Alcoutim,847.69,919.76,799.38,811.1,819.2,777.11,766.6,785.25,720.8,864.15,995.33,805.16
Aljezur,855.95,878.04,834.83,1263.91,1121.35,1600.85,814.94,826.22,759.5,844.25,877.4,820.51
Castro Marim,864.92,904.82,827.46,771.47,745.46,829.48,866.1,865.95,866.97,869.35,934.19,825.44
Faro,1170.3,1248.61,1088.58,807.46,823.79,775.41,1069.46,1079.63,1029.35,1200.47,1319.57,1099.62
Lagoa,1029.38,1095.8,953.04,2026.47,2138.76,1097.47,949.67,957.44,914.35,1024.2,1098.02,954.57
Lagos,980.65,1016.21,944.35,1115.27,1141.36,1042.38,1015.08,1019.49,997.76,972.18,1011.7,940.03
Loulé,1049.61,1113.03,974,1308.99,1406.94,903.24,1078.85,1084.88,1052.54,1040.68,1113.9,969.41
Monchique,887.89,943.94,839.34,737.63,734.03,778.1,951.31,962.86,914.65,887.28,986.75,833.51
Olhão,959.95,1001,911.38,1058.28,1131.27,902.61,935.61,941.68,917.63,953.85,1006.79,911.12
Portimão,1049.22,1134.52,962.83,961.01,985.54,872.07,973.73,979.06,950.07,1060.1,1174,963.63
São Brás de Alportel,972.33,1011.27,927.93,742.2,760.63,643.91,945.31,970.25,842.87,989.21,1059.52,942.27
Silves,953.07,990.06,905.2,850.35,841.46,876.31,969.73,969.44,970.89,962.21,1027.45,901.05
Tavira,919.14,947.34,891.12,854.13,837.8,906.3,972.01,957.81,1057.34,916.05,975.04,881.11
Vila do Bispo,945.38,981.79,910.68,1040.44,1039.95,…,892.79,913.66,785.45,943.92,982.03,911.88
Vila Real de Santo António,941.04,1023.5,855.83,1370.53,1416.72,1068.55,889.92,905,813.06,935.29,1030.48,856.03
R. A. Açores,1100.47,1169.55,1014.9,921.16,913.36,982.42,1067.15,1074.5,1036.32,1117.3,1237.83,1012.85
Santa Maria,1492.53,1722.66,1153,956.42,988.6,…,1036.21,1051.54,953.47,1607.1,1988.98,1170.16
Vila do Porto,1492.53,1722.66,1153,956.42,988.6,…,1036.21,1051.54,953.47,1607.1,1988.98,1170.16
São Miguel,1117.89,1188.47,1028.43,943.01,931.35,1033.08,1091.27,1087.29,1107.65,1133.87,1263.64,1019.41
Lagoa (R.A.A.),941.9,957.49,910.44,903.34,902.58,912.69,986.51,970.47,1095.26,912.14,948.58,875.56
Nordeste,860.78,844.48,883.25,724.06,728.54,…,786.39,789.04,754.88,899.3,910.3,891.26
Ponta Delgada,1205.46,1320.4,1079.02,961.77,925.46,1203.56,1168.57,1161.66,1194.22,1220.09,1393.4,1069.73
Povoação,924.33,1043.05,817.74,1730.97,1849.66,947.63,938.16,1007.86,784.42,877.73,959.79,818.94
Ribeira Grande,999.26,1032.77,938.04,848.31,866.75,725.6,1087.39,1102.74,1021.29,939.93,963.04,917.25
Vila Franca do Campo,895.25,860.12,939.99,731.79,731.79,//,912.31,813.06,1163.66,900.76,906.71,895.48
Terceira,1057.24,1085.92,1021.57,825.01,831.16,774.23,1024.12,1035.43,960.47,1074.04,1128.15,1027.99
Angra do Heroísmo,1052.76,1057.18,1047.75,809.88,813.71,757.82,1012.34,1014.29,1000.43,1071.12,1096.38,1051.98
Vila da Praia da Vitória,1067.35,1142.8,951.08,857.97,875.1,786.85,1047.14,1078.14,895.56,1080.94,1189.49,959.79
Graciosa,1039.07,1134.76,925.56,771.61,767.79,…,1098.9,1192.75,805.63,1030.54,1137.81,947.5
Santa Cruz da Graciosa,1039.07,1134.76,925.56,771.61,767.79,…,1098.9,1192.75,805.63,1030.54,1137.81,947.5
São Jorge,976.85,1032.03,914.44,854.07,872.74,…,974.97,1045.81,840.02,979.88,1026.66,940.47
Calheta (R.A.A.),902.67,944.2,862.67,779.07,779.07,//,894.53,967.34,811.58,909.59,930.4,892.13
Velas,1015.69,1072.9,945.24,876.57,903.96,…,1027.66,1082.98,873.07,1012.56,1071.3,963
Pico,952.63,1007.31,892.73,968.33,969.53,954.39,1003.19,1013.12,964.6,935.27,1007.34,884.07
Lajes do Pico,844.16,869.13,825.97,711.61,711.61,//,870.9,819.9,972.88,838.39,920.95,800.18
Madalena,952.98,980.92,922.27,1012.63,1018.57,954.39,923.3,932.51,886.43,957.72,1002.98,925.56
São Roque do Pico,1036.07,1133.33,890.42,…,…,//,1239.28,1247.63,1177.15,960.15,1058.49,865.07
Faial,1125.82,1237.06,1003.85,1018.46,972.67,1239.78,1088.45,1124.98,913.99,1134.98,1285.07,1008.39
Horta,1125.82,1237.06,1003.85,1018.46,972.67,1239.78,1088.45,1124.98,913.99,1134.98,1285.07,1008.39
Flores,1134.2,1324.73,923.04,846.7,…,…,1146.43,1225.36,853.29,1134.36,1361.42,930.14
Lajes das Flores,1029.01,1154.44,931.24,…,//,…,917.44,916.69,919.08,1053.94,1231.71,937.37
Santa Cruz das Flores,1178.4,1380.44,918.62,…,…,//,1239,1328.25,803.95,1168.35,1404.3,926.4
Corvo,1089.12,1127.01,1044.21,…,…,//,1041.24,1095.32,…,1117.88,1183.83,1070.4
Corvo,1089.12,1127.01,1044.21,…,…,//,1041.24,1095.32,…,1117.88,1183.83,1070.4
R. A. Madeira,1130.18,1208.78,1038.29,827.2,830.51,818.54,1183.42,1201.47,1081.55,1121.17,1219.41,1036.8
Calheta (R.A.M.),1154.37,1263.95,964.93,963.03,926.63,…,1383.93,1381.74,1400,921.91,993.63,878.54
Câmara de Lobos,999.57,1036.31,932.72,821.71,801.19,858.64,1130.09,1111.29,1258.73,925.2,969.63,881.7
Funchal,1171.47,1260.01,1078.57,884.53,896,849.47,1252.62,1280.31,1106.35,1159.43,1255.76,1077.56
Machico,1063.89,1140.83,948.48,818.51,842.72,745.89,1083.06,1093.21,1019.63,1054.25,1200.89,938.61
Ponta do Sol,881.12,904.59,851.39,760.66,734.1,782.38,914,898.15,1089.4,874.44,915.72,841.93
Porto Moniz,826.72,912.12,772.37,…,…,//,1213.46,1298.5,646.49,788.65,816.01,774.87
Ribeira Brava,920.15,972.92,859.99,//,//,//,938.67,972.95,745.46,912.88,972.89,871.44
Santa Cruz,1116.14,1170.83,1030.1,815.59,824.28,788.79,1018.84,1035.27,951.71,1165.08,1262.16,1048.83
Santana,883.15,981.25,813.77,716,716,//,954.61,991.33,719.6,871.94,984.33,817.17
São Vicente,866.1,899.07,827.54,692.43,…,…,872.02,894.47,758.9,865.02,905.07,836.62
Porto Santo,1175.5,1344.69,988.4,…,…,…,1551.57,1602.77,830.03,1113.01,1257.08,992.07
