,"Primary education, 1st cycle, Total (N.º)","Primary education, 1st cycle, of which, Regular education (N.º)","Primary education, 1st cycle, of which, Artistic education (N.º)","Primary education, 2nd cycle, Total, Artistic education (N.º)","Primary education, 2nd cycle, of which, Regular education (N.º)","Primary education, 2nd cycle, of which, Artistic education (N.º)","Primary education, 2nd cycle, of which, Education and training courses (N.º)","Lower secondary education, 2nd cycle, Total, Education and training courses (N.º)","Lower secondary education, 2nd cycle, of which, Regular education (N.º)","Lower secondary education, 2nd cycle, of which, Artistic education (N.º)","Lower secondary education, 2nd cycle, of which, Vocational courses  (N.º)","Lower secondary education, 2nd cycle, of which, Education and training courses (N.º)"
Sesimbra,2199,2199,0,1178,1178,0,0,2013,1975,0,0,23
Setúbal,5092,5092,0,3026,2981,45,0,4583,4497,0,0,86
Sintra,15266,15266,0,8080,8050,0,0,12857,12345,0,0,309
Vila Franca de Xira,5556,5556,0,2992,2912,71,0,4602,4314,70,0,128
Alentejo,25414,25406,0,13948,13640,0,0,21867,20407,0,0,956
Alentejo Litoral,3411,3411,0,1820,1818,0,0,2834,2717,0,0,108
Alcácer do Sal,369,369,0,199,197,0,0,366,346,0,0,11
Grândola,498,498,0,289,289,0,0,415,400,0,0,15
Odemira,915,915,0,469,469,0,0,772,734,0,0,38
Santiago do Cacém,1004,1004,0,539,539,0,0,818,789,0,0,29
Sines,625,625,0,324,324,0,0,463,448,0,0,15
Baixo Alentejo,4367,4367,0,2372,2223,0,0,3609,3185,0,0,270
Aljustrel,324,324,0,172,159,0,0,220,188,0,0,19
Almodôvar,201,201,0,117,117,0,0,189,189,0,0,0
Alvito,83,83,0,27,27,0,0,92,59,0,0,33
Barrancos,42,42,0,23,23,0,0,54,54,0,0,0
Beja,1474,1474,0,836,758,0,0,1269,1164,0,0,98
Castro Verde,231,231,0,140,119,0,0,262,185,0,0,0
Cuba,154,154,0,101,101,0,0,132,97,0,0,35
Ferreira do Alentejo,274,274,0,125,125,0,0,167,167,0,0,0
Mértola,158,158,0,76,76,0,0,146,130,0,0,16
Moura,616,616,0,330,308,0,0,463,394,0,0,27
Ourique,144,144,0,85,85,0,0,130,112,0,0,18
Serpa,451,451,0,239,229,0,0,378,357,0,0,10
Vidigueira,215,215,0,101,96,0,0,107,89,0,0,14
Lezíria do Tejo,8612,8610,0,4820,4760,0,0,7613,7214,0,0,253
Almeirim,911,911,0,515,499,0,0,755,729,0,0,0
Alpiarça,212,212,0,110,110,0,0,194,194,0,0,0
Azambuja,829,829,0,439,426,0,0,691,656,0,0,35
Benavente,1217,1217,0,723,703,0,0,1021,965,0,0,36
Cartaxo,782,782,0,469,466,0,0,769,713,0,0,29
Chamusca,260,260,0,144,144,0,0,218,204,0,0,0
Coruche,529,527,0,289,281,0,0,502,455,0,0,30
Golegã,158,158,0,74,74,0,0,168,168,0,0,0
Rio Maior,768,768,0,472,472,0,0,666,624,0,0,0
Salvaterra de Magos,742,742,0,405,405,0,0,687,624,0,0,63
Santarém,2204,2204,0,1180,1180,0,0,1942,1882,0,0,60
Alto Alentejo,3668,3665,0,1986,1947,0,0,3164,2947,0,0,140
Alter do Chão,96,96,0,43,43,0,0,110,76,0,0,34
Arronches,86,86,0,47,45,0,0,79,72,0,0,0
Avis,109,109,0,65,65,0,0,85,85,0,0,0
Campo Maior,396,396,0,219,208,0,0,288,278,0,0,0
Castelo de Vide,80,80,0,38,38,0,0,82,82,0,0,0
Crato,84,84,0,40,40,0,0,66,66,0,0,0
