,"Gross reported income per inhabitant, €","Personal income paid tax per inhabitant, €","Gross reported income less personal income paid tax per inhabitant, €","Gross reported income per tax household, €","Median value of gross reported income per tax household, €","Personal income paid tax per tax household, €","Gross reported income less personal income paid tax per tax household, €"
Mêda,7024,592,6431,14969,10823,1262,13706
Pinhel,7786,642,7144,15165,11180,1250,13915
Sabugal,6903,586,6317,15371,11757,1306,14066
Seia,8206,722,7484,16263,11580,1430,14833
Trancoso,7324,626,6698,15744,11070,1347,14397
A. M. Lisboa,12492,2005,10487,23321,14803,3743,19578
Alcochete,12615,2092,10522,26252,16216,4354,21898
Almada,11599,1672,9927,21862,14570,3152,18710
Amadora,10366,1288,9078,19133,13100,2377,16756
Barreiro,10688,1286,9402,19788,14281,2381,17407
Cascais,13931,2663,11268,26785,15831,5120,21666
Lisboa,16973,3558,13415,29082,16292,6097,22985
Loures,10918,1451,9467,20683,13928,2748,17935
Mafra,11213,1614,9599,23043,15148,3317,19726
Moita,8951,896,8055,17460,12980,1747,15713
Montijo,10350,1343,9007,20718,13933,2689,18030
Odivelas,11070,1413,9657,20322,13899,2594,17727
Oeiras,15993,3077,12916,29727,19085,5720,24008
Palmela,10467,1391,9076,21423,14611,2847,18576
Seixal,10927,1432,9494,21112,14900,2768,18344
Sesimbra,10711,1339,9373,20916,15088,2614,18302
Setúbal,11260,1555,9705,21652,14652,2990,18662
Sintra,10381,1324,9057,19679,13473,2510,17170
Vila Franca de Xira,10847,1297,9551,20811,15326,2488,18323
Alentejo,9495,1040,8454,18195,12668,1994,16201
Alentejo Litoral,9977,1191,8787,17861,11718,2131,15730
Alcácer do Sal,8928,866,8062,16930,12213,1643,15288
Grândola,9486,1312,8174,19338,12503,2674,16664
Odemira,8547,748,7799,13225,9765,1157,12069
Santiago do Cacém,11369,1552,9818,21783,14300,2973,18810
Sines,11565,1553,10013,21564,14405,2895,18669
Baixo Alentejo,9005,993,8012,18166,12574,2002,16163
Aljustrel,9687,1066,8621,19190,13575,2112,17077
Almodôvar,9711,1073,8638,18239,12317,2015,16224
Alvito,8060,824,7235,17620,//,1802,15817
Barrancos,7149,502,6647,14897,//,1046,13851
Beja,10591,1365,9226,20809,13990,2683,18126
Castro Verde,10784,1421,9363,22408,15324,2953,19455
Cuba,8835,902,7933,17283,12068,1764,15519
Ferreira do Alentejo,7898,736,7161,15541,11231,1449,14092
Mértola,7618,652,6967,15363,11527,1314,14049
Moura,7048,643,6406,15836,11493,1444,14393
Ourique,8391,796,7595,16029,11628,1521,14509
Serpa,7558,693,6865,15695,11478,1439,14256
Vidigueira,8151,746,7405,16403,11840,1501,14902
Lezíria do Tejo,9412,1008,8404,18224,12866,1951,16272
Almeirim,8623,813,7810,16619,11894,1567,15052
Alpiarça,8812,841,7971,16807,11992,1604,15204
Azambuja,9037,907,8129,18068,13228,1814,16254
Benavente,9749,1136,8613,19308,13394,2250,17058
Cartaxo,9892,1059,8833,18630,13650,1994,16635
Chamusca,7956,616,7339,15390,11595,1192,14198
Coruche,8526,781,7745,16951,12472,1552,15399
Golegã,9541,970,8571,17771,12759,1807,15964
Rio Maior,8930,878,8052,16946,12041,1666,15280
Salvaterra de Magos,8970,880,8090,17456,12760,1713,15743
Santarém,10352,1273,9079,19902,13426,2447,17456
Alto Alentejo,9212,939,8273,17400,12334,1773,15626
Alter do Chão,8736,823,7913,16499,12410,1554,14946
Arronches,8699,743,7956,16194,11911,1383,14811
Avis,8249,730,7519,15656,11627,1385,14271
Campo Maior,9860,1245,8615,20050,13588,2532,17518
Castelo de Vide,9355,932,8424,17607,12873,1754,15853
Crato,8384,692,7692,16018,12056,1322,14697
Elvas,9127,987,8140,17626,12387,1906,15720
Fronteira,8974,819,8155,16765,11818,1530,15235
Gavião,8465,674,7791,15810,11793,1259,14550
Marvão,8042,630,7412,15065,11391,1180,13885
Monforte,7238,644,6594,15536,//,1382,14154
Nisa,9212,812,8401,16553,12213,1459,15094
Ponte de Sor,8340,747,7593,15355,11132,1375,13980
Portalegre,10877,1261,9616,19988,13875,2317,17670
Sousel,7913,631,7282,15032,11226,1199,13833
Alentejo Central,9880,1101,8779,18952,13429,2113,16839
Alandroal,8010,595,7415,14850,11625,1102,13748
Arraiolos,9200,861,8339,17538,13072,1641,15896
Borba,8385,686,7699,16492,12764,1348,15143
Estremoz,9342,963,8379,18046,12953,1861,16185
Évora,11769,1593,10177,22087,15281,2989,19098
Montemor-o-Novo,9008,927,8081,17868,12771,1838,16031
Mora,9019,813,8206,16619,12281,1498,15121
