,"Quintiles of gross reported income by taxable person, 1st quintile, €","Quintiles of gross reported income by taxable person, 2nd quintile, €","Quintiles of gross reported income by taxable person, 3rd quintile, €","Quintiles of gross reported income by taxable person, 4th quintile, €","Distribution of the number of taxable persons by gross reported income class, Less than  5 000 €, No.","Distribution of the number of taxable persons by gross reported income class, From 5 000 to less than 10 000 €, No.","Distribution of the number of taxable persons by gross reported income class, From 10 000 to less than 13 500 €, No.","Distribution of the number of taxable persons by gross reported income class, From  13 500 to less than 19 000 €, No.","Distribution of the number of taxable persons by gross reported income class, From  19 000 to less than 32 500 €, No.","Distribution of the number of taxable persons by gross reported income class, 32 500 € or more, No."
Évora,7849,10718,14462,22174,2990,10944,8015,7175,6672,3534
Montemor-o-Novo,6747,9248,11618,16532,1117,4379,2376,1684,1196,493
Mora,6540,8760,11066,15038,//,//,//,//,//,//
Mourão,//,//,//,//,//,//,//,//,//,//
Portel,5715,8157,10014,13744,553,1804,757,508,246,67
Redondo,6105,8525,10433,14412,538,2053,916,543,400,113
Reguengos de Monsaraz,6309,8961,11486,16402,810,2798,1448,1073,754,257
Vendas Novas,7047,9347,12347,17650,824,2997,1661,1468,1056,375
Viana do Alentejo,6479,9002,11372,16080,399,1478,775,579,395,107
Vila Viçosa,6923,9233,11564,15788,485,2191,1277,834,558,196
Algarve,5514,8732,11555,17388,57512,115315,61727,47506,40631,17265
Albufeira,4838,7886,10634,15817,7310,12147,5871,4375,3558,1339
Alcoutim,//,//,//,//,//,//,//,//,//,//
Aljezur,5004,8234,10665,15632,790,1410,740,483,393,151
Castro Marim,5495,8346,10812,15908,780,1801,886,614,474,178
Faro,6319,9618,13572,21665,6884,14431,8704,7843,8027,4361
Lagoa,5464,8519,11199,16861,2926,5904,3098,2246,2049,652
Lagos,5420,8645,11296,16884,4018,8017,4247,3148,2542,1136
Loulé,5388,8680,11476,17111,9701,18255,10082,7693,6131,2784
Monchique,5080,7669,9844,13928,//,//,//,//,//,//
Olhão,5730,8950,11659,17023,4763,10242,5869,4424,3604,1278
Portimão,5633,8782,11678,17688,7151,15150,7931,6200,5441,2342
São Brás de Alportel,5708,9039,12055,18692,1266,2484,1474,1102,1111,411
Silves,5509,8579,11222,16126,4526,9763,5154,3899,2921,898
Tavira,5374,8309,11047,16732,3397,7016,3444,2448,2139,964
Vila do Bispo,5170,8210,10852,15594,736,1394,734,547,367,138
Vila Real de Santo António,5400,8433,10952,15971,2347,5065,2567,1858,1439,483
R. A. Açores,5976,9098,11726,18688,23239,56702,34168,21099,21792,10890
Santa Maria,6482,9702,12252,21012,478,1239,832,492,486,405
Vila do Porto,6482,9702,12252,21012,478,1239,832,492,486,405
São Miguel,5630,8798,11568,18811,14178,30923,17859,10830,11747,6376
Lagoa (R.A.A.),5205,7818,10516,16034,1768,3676,1799,938,1024,522
Nordeste,4995,7044,9658,12868,622,1357,587,289,191,63
Ponta Delgada,6651,9935,13331,22825,5477,14240,9760,6672,7721,4732
Povoação,4878,6842,9302,12755,836,1755,611,332,275,102
Ribeira Grande,5100,7884,10467,15010,3809,7318,3979,2041,1950,741
Vila Franca do Campo,4585,6591,9708,13625,1666,2577,1123,558,586,216
Terceira,6532,9632,12286,19324,4546,12729,8390,5502,5546,2472
Angra do Heroísmo,6586,9762,12633,20259,2863,7851,5152,3533,3633,1836
Vila da Praia da Vitória,6443,9420,11774,17771,1683,4878,3238,1969,1913,636
Graciosa,5870,8401,10859,16704,404,1181,557,316,353,134
Santa Cruz da Graciosa,5870,8401,10859,16704,404,1181,557,316,353,134
São Jorge,5731,8418,10756,15384,933,2331,1322,730,631,199
Calheta (R.A.A.),5593,7815,10302,13866,414,1021,564,263,218,51
Velas,5955,8864,11071,16576,519,1310,758,467,413,148
Pico,6293,8854,10979,16209,1267,3974,2266,1182,1125,428
Lajes do Pico,6066,8428,10585,15035,395,1313,683,313,327,107
Madalena,6713,9133,11273,16739,530,1762,1082,595,512,200
São Roque do Pico,5871,8796,10956,16878,342,899,501,274,286,121
Faial,6962,9859,12748,19784,1081,3298,2332,1665,1532,742
Horta,6962,9859,12748,19784,1081,3298,2332,1665,1532,742
Flores,6042,8749,11453,17354,322,938,526,338,320,121
Lajes das Flores,//,//,//,//,//,//,//,//,//,//
Santa Cruz das Flores,//,//,//,//,//,//,//,//,//,//
Corvo,//,//,//,//,//,//,//,//,//,//
Corvo,//,//,//,//,//,//,//,//,//,//
R. A. Madeira,5757,9058,11997,19390,25189,53620,30061,21381,22579,11147
Calheta (R.A.M.),4598,7345,10100,15591,1459,2124,975,674,635,215
Câmara de Lobos,5106,7522,9836,13291,3594,7995,3704,1866,1402,378
Funchal,6355,9729,13558,23358,9754,21171,13065,10149,11849,7614
Machico,5495,8137,10610,15637,2175,5092,2403,1536,1466,400
Ponta do Sol,4792,7263,10021,15136,1031,1791,769,475,505,149
Porto Moniz,//,//,//,//,//,//,//,//,//,//
Ribeira Brava,5198,7863,10352,14881,1339,2812,1361,810,716,207
Santa Cruz,6278,9687,12967,20074,3639,8112,5481,4383,4548,1554
Santana,4962,7484,9873,13585,827,1639,753,399,322,97
São Vicente,4834,7319,9959,14600,//,//,//,//,//,//
Porto Santo,7004,10092,13706,22064,461,1223,838,666,705,382
