,Total (N.º),Brazil (N.º),Ukraine (N.º),Cabo Verde (N.º),Romania (N.º),Angola (N.º),Guinea-Bissau (N.º),United Kingdom (N.º),Moldavia (N.º),China (N.º),São Tomé and Príncipe (N.º)
Odivelas,19946,5176,965,948,822,2000,1776,163,72,477,587
Oeiras,13485,5285,407,1487,418,441,212,242,115,540,94
Palmela,3144,972,187,91,507,132,25,134,71,143,21
Seixal,11624,4025,228,2107,285,978,375,108,61,252,1096
Sesimbra,2918,1112,107,107,167,87,16,135,68,87,16
Setúbal,8674,3819,349,518,774,505,68,183,151,297,40
Sintra,41155,11001,1496,7855,2139,4331,5006,502,380,1010,1251
Vila Franca de Xira,8621,3413,431,783,761,650,489,52,119,242,223
Alentejo,36024,7469,2399,670,4113,560,311,1434,467,1587,69
Alentejo Litoral,13058,1129,515,217,811,53,21,445,118,254,4
Alcácer do Sal,482,50,14,4,208,4,1,25,13,17,0
Grândola,758,196,17,8,95,5,1,18,3,117,0
Odemira,9615,304,355,13,149,5,8,356,77,38,0
Santiago do Cacém,1244,248,68,32,230,24,1,38,12,39,3
Sines,959,331,61,160,129,15,10,8,13,43,1
Baixo Alentejo,4480,794,289,129,773,52,176,369,57,207,5
Aljustrel,148,42,27,3,5,2,2,10,1,11,0
Almodôvar,225,57,14,4,17,1,2,23,2,8,0
Alvito,78,8,6,13,2,3,0,7,5,1,0
Barrancos,18,2,0,0,6,0,1,0,0,2,0
Beja,1617,391,117,63,156,33,155,15,29,101,2
Castro Verde,191,38,21,1,17,2,0,18,6,9,0
Cuba,291,28,16,18,73,4,0,2,0,5,0
Ferreira do Alentejo,643,39,13,0,270,2,6,56,9,14,0
Mértola,177,33,8,12,16,1,6,33,0,7,2
Moura,250,30,5,1,117,2,1,1,0,22,0
Ourique,374,27,12,0,4,1,0,199,3,8,1
Serpa,317,74,19,4,57,0,2,5,0,13,0
Vidigueira,151,25,31,10,33,1,1,0,2,6,0
Lezíria do Tejo,10946,3377,1197,90,1432,299,72,232,171,702,33
Almeirim,873,216,64,5,223,21,3,24,4,41,0
Alpiarça,344,35,31,3,166,7,1,6,0,7,1
Azambuja,1177,538,189,11,50,43,12,30,16,20,2
Benavente,2161,740,217,17,270,63,3,17,64,398,8
Cartaxo,875,351,131,9,28,15,5,32,9,40,1
Chamusca,89,20,3,0,26,3,0,3,0,13,1
Coruche,336,86,42,3,29,4,1,8,1,19,0
Golegã,81,14,7,1,10,1,0,6,0,10,1
Rio Maior,1548,417,181,2,83,28,4,39,23,30,1
Salvaterra de Magos,522,222,46,7,34,16,2,10,0,27,2
Santarém,2940,738,286,32,513,98,41,57,54,97,16
Alto Alentejo,2755,649,115,47,505,48,19,224,58,134,10
Alter do Chão,122,26,0,0,80,1,0,0,4,3,0
Arronches,57,4,1,1,7,0,1,16,2,6,0
Avis,60,14,2,1,15,0,1,4,3,3,0
Campo Maior,249,49,3,1,117,1,0,1,15,3,0
Castelo de Vide,123,9,7,0,8,2,0,31,0,3,0
Crato,65,14,2,4,27,0,0,2,2,4,0
Elvas,587,144,38,2,101,20,4,9,21,26,0
Fronteira,71,6,0,0,40,0,0,4,3,2,0
Gavião,12,0,1,0,2,1,0,0,0,3,0
Marvão,178,12,1,0,2,0,0,64,0,0,0
Monforte,41,4,6,1,9,1,0,0,5,3,0
Nisa,83,14,1,0,12,2,0,2,0,4,0
Ponte de Sor,418,166,25,6,20,3,0,45,0,16,0
Portalegre,599,168,28,31,22,17,12,43,3,50,10
Sousel,90,19,0,0,43,0,1,3,0,8,0
Alentejo Central,4785,1520,283,187,592,108,23,164,63,290,17
Alandroal,115,11,9,0,11,1,1,14,0,1,0
Arraiolos,158,31,2,0,18,0,1,17,2,18,0
Borba,130,39,9,2,42,3,4,3,0,7,0
Estremoz,341,73,26,2,119,0,0,36,1,11,0
Évora,2300,925,130,161,90,83,15,48,18,120,13
Montemor-o-Novo,424,159,22,6,44,9,0,7,3,34,0
Mora,45,3,1,0,14,1,0,4,0,7,1
Mourão,45,2,0,0,8,0,0,4,1,0,0
Portel,120,29,5,0,25,1,0,4,2,5,0
Redondo,209,31,15,1,99,0,0,9,0,7,0
Reguengos de Monsaraz,307,61,24,2,87,0,0,15,31,12,0
Vendas Novas,353,90,28,9,30,8,1,2,2,37,3
