,Total (€),"Employees size class , 1 - 9 (€)","Employees size class , 10 - 19 (€)","Employees size class , 20 - 49 (€)","Employees size class , 50 - 99 (€)","Employees size class , 100 - 249 (€)","Employees size class , 250 - 499 (€)","Employees size class , 500 and over (€)"
Lajes das Flores,963.11,809.87,941.07,884.81,//,1043.87,2374.9,1963.1
Santa Cruz das Flores,1082.28,781.81,798.67,819.5,1220.77,986.04,//,1644.91
Corvo,1444.71,699.63,//,967.16,873.5,984.08,1513.99,2087.62
Corvo,1444.71,699.63,//,967.16,873.5,984.08,1513.99,2087.62
R. A. Madeira,1096.41,859.76,956.34,1038.09,1085.89,1148.88,1176.32,1412.95
Calheta (R.A.M.),1141.91,732.68,885.43,906.92,1035.17,922.87,931.67,1573.61
Câmara de Lobos,950.94,773.56,895.25,936.85,970.38,1306.46,1151.64,1198.85
Funchal,1136.03,917.96,1000.68,1097.46,1116.7,1210.73,1213.28,1352.3
Machico,1039.98,818.07,955.27,1174.35,1245.74,955.41,825.14,1101.82
Ponta do Sol,834.46,738.75,759.79,855.33,918.61,//,865.8,1735.1
Porto Moniz,788.81,711.88,689.05,766.59,//,//,//,2054.25
Ribeira Brava,895.25,761.4,810.7,848.89,1140.54,844.65,//,1055.01
Santa Cruz,1084.29,788.9,955.05,940.06,931.45,1046.21,1172.75,1749.21
Santana,862.43,758.6,850.92,761.66,882.79,1245.2,//,1175.59
São Vicente,854.09,755.7,782.66,863.65,//,//,//,2012.82
Porto Santo,1142.94,767.89,770.14,916.27,934.86,1133.83,1048.13,2068.23
