,"%, Gini coefficient, Gross reported income, Taxable person","No., Inequality of income distribution (P80/P20), Gross reported income, Taxable person","No., Inequality of income distribution (P90/P10), Gross reported income, Taxable person","%, Gini coefficient, Gross reported income less personal income paid tax, Taxable person","No., Inequality of income distribution (P80/P20), Gross reported income less personal income paid tax, Taxable person","No., Inequality of income distribution (P90/P10), Gross reported income less personal income paid tax, Taxable person"
Almeida,25.7,2.9,5.7,23.1,2.7,5.1
Belmonte,24.9,2.6,5,22.2,2.5,4.6
Celorico da Beira,25.6,2.8,6.1,23.1,2.7,5.5
Covilhã,27.6,2.7,5.5,24,2.5,4.7
Figueira de Castelo Rodrigo,28,3,6.8,25.3,2.8,6.2
Fornos de Algodres,26.6,2.8,5.8,23.9,2.6,5.3
Fundão,26.5,2.9,5.6,23.6,2.7,5
Gouveia,27.3,2.7,5.8,24.3,2.6,5.2
Guarda,28.6,3.2,6.4,25,2.9,5.5
Manteigas,25.3,2.5,4.7,22.7,2.4,4.5
Mêda,26.7,2.8,6,24,2.7,5.5
Pinhel,26.7,2.8,6,24.1,2.7,5.4
Sabugal,26.4,2.8,6.4,24,2.7,5.9
Seia,26,2.6,5,23,2.5,4.5
Trancoso,28,2.9,6.9,25.2,2.8,6.3
A. M. Lisboa,32.2,3.6,7.9,27.7,3.1,6.4
Alcochete,32.5,3.7,7.5,27.9,3.2,6
Almada,30.2,3.4,7.2,26.1,3,5.9
Amadora,28.4,3.2,6.5,24.8,2.8,5.5
Barreiro,26.3,2.9,5.6,22.9,2.6,4.7
Cascais,35.1,4.1,9.3,29.9,3.5,7.3
Lisboa,37.2,4.9,12.5,32.3,4.1,10.4
Loures,28,3,6.2,24.3,2.7,5.2
Mafra,30.5,3.5,7.2,26.5,3.1,5.9
Moita,24.3,2.7,5.2,21.6,2.5,4.5
Montijo,28.9,3.3,6.6,25.3,2.9,5.6
Odivelas,27.7,3.2,6.5,24.3,2.8,5.4
Oeiras,32.3,4,8.4,27.7,3.3,6.6
Palmela,28.8,3.2,6.5,25.1,2.9,5.5
Seixal,27,3,6,23.5,2.7,5.1
Sesimbra,27.6,3.1,6.2,24.1,2.8,5.3
Setúbal,28.9,3.2,6.6,25.1,2.9,5.5
Sintra,28.1,3,6.3,24.4,2.7,5.4
Vila Franca de Xira,25.6,2.8,5.4,22.3,2.5,4.6
Alentejo,27.2,2.8,5.5,23.7,2.6,4.7
Alentejo Litoral,28.7,3.1,6.3,25.1,2.8,5.4
Alcácer do Sal,25.6,2.6,4.8,22.5,2.5,4.3
Grândola,28.8,3,5.7,25,2.8,4.9
Odemira,25.9,2.7,6,23.2,2.6,5.4
Santiago do Cacém,29.5,3.3,6.7,25.5,3,5.5
Sines,28.7,3.2,6.5,24.8,2.9,5.4
