,"Proporção de TCO em estabelecimentos de empresas com menos de 10 trabalhadores, %","Proporção de TCO em estabelecimentos de empresas com 250 ou mais trabalhadores, %","Ganho médio mensal, €","Proporção de TCO com ensino superior, %","Proporção de TCO que mudou de empresa , %","Taxa de atração líquida de TCO, %","Disparidade no ganho médio mensal por sexo, %","Disparidade no ganho médio mensal por escalão de empresa, %","Disparidade no ganho médio mensal por setor de atividade, %","Disparidade no ganho médio mensal por nível de habilitações, %","Disparidade no ganho médio mensal por profissão principal, %"
Peniche,31.4,15.7,1050.1,12.4,9.1,-0.1,11,8.8,10.4,15.9,25.9
Sobral de Monte Agraço,30.5,4.1,1059,10.2,8.8,-0.2,9.3,10.1,3.6,16,24.1
Torres Vedras,24.4,18,1108.6,14.8,10.8,0.5,7.7,11.1,6.3,20.8,26.8
Região de Aveiro,16.6,29.1,1209.9,21.8,10.9,0,11.3,12.3,3.7,24.1,30.6
Águeda,17.2,13,1127.5,17.6,10.6,1.2,11.3,6.5,3.6,19.4,30.4
Albergaria-a-Velha,17,24.5,1194.1,17.8,9.5,1,11,12.5,5.6,18.9,27.4
Anadia,20.4,23.1,1092.7,18,7.4,0.4,8.7,10,6,18.1,24.2
Aveiro,14,43.8,1315.8,29.4,14.5,-0.7,11.4,13.4,6,28.8,33.1
Estarreja,10.4,37.6,1349.1,17.1,10.8,3.2,14.4,17.6,4.6,18.5,29
Ílhavo,16.8,26.5,1247.8,25.3,9.9,-0.8,14,11.5,1.4,23.7,34.2
Murtosa,29.6,21.8,985.6,13.7,7.7,0.9,7.9,13.6,2.6,19.2,23.7
Oliveira do Bairro,18.9,10.6,1127.7,18.4,10.8,1.3,10.3,9.1,4.8,16,26.3
Ovar,16.1,33.2,1180.9,18.7,7.9,-2.3,8.8,15,8,27.5,32.2
Sever do Vouga,26.1,13.6,1120.5,14.4,10.2,1.8,12,14.1,7,15.3,22
Vagos,22.1,21.8,1059.7,21.2,9.4,-0.3,7.2,9,3.8,21.3,31
Região de Coimbra,21.4,25.6,1167.6,23.9,10.1,-0.1,10.7,14.1,3.1,23.2,28.4
Arganil,29.3,7.6,954.6,10.9,5.9,-0.5,8,7.5,2.5,15.4,23.1
Cantanhede,19.8,24.5,1153.6,21.2,8.3,-1.3,8.9,11.5,7.8,24,30.3
Coimbra,20.5,34.1,1265.5,34.5,11.3,-0.4,10.3,15.4,2.7,26.4,31.5
Condeixa-a-Nova,21.8,12.8,1092.1,23.2,8.4,0.6,10.2,9.6,1.9,19.1,23.6
Figueira da Foz,18.7,33.2,1259.8,18.9,8.9,0.5,14.8,16.9,14,22.7,30.6
Góis,40.2,9.9,876.8,11.4,3.8,-3.2,0.1,3.5,5.2,14.2,16.8
Lousã,27.2,24.4,1065.3,21,9.3,1.8,9.4,15.8,6.1,17.9,21.7
Mealhada,15.3,32.9,1185.9,17.2,16.1,3.5,10.8,13.8,3.5,11.9,23.7
Mira,32,1,996.3,18.8,8.1,0.4,7.1,12.1,3.5,17.5,24.4
Miranda do Corvo,35.7,24.8,960.4,18.1,6.6,0.9,4.1,13.2,3.6,13.3,19.6
Montemor-o-Velho,25,5.1,1042.7,15.4,11.1,3.4,6.8,8,5.4,15.9,19.8
Mortágua,17.5,13.1,1065.6,23.6,14.1,-9.9,9.4,9.1,2.7,18.9,24.4
Oliveira do Hospital,25.2,10,977.7,15.6,6,0.4,6.8,14.7,2.1,18.7,22.2
Pampilhosa da Serra,32.1,8.4,942,10.6,5.3,-0.5,6.3,6.5,5.7,16.9,23.5
Penacova,30.4,2.5,1023,11.7,8.9,1.7,8.6,18.3,11.5,10,18.3
Penela,13.2,6.4,1067.3,23.4,12,-0.3,9.8,7.7,6.8,12.5,20.7
Soure,26.2,6.6,1085.2,15.6,10.2,1.8,14.1,17.7,11.4,15.3,24.4
Tábua,19.2,31.2,999.1,12.1,10.2,-1.4,10,8.1,5.7,24.4,34.7
Vila Nova de Poiares,20.7,20.5,1047.5,11.5,6.7,-0.4,11.2,14,4.4,17.2,23.1
Região de Leiria,22.4,16.3,1194,19.3,12,1.3,11.4,11.7,6.1,16.6,25.3
Alvaiázere,28.2,2.1,1012.4,12.5,11.7,5.3,9.1,10.6,5.5,11,19.8
Ansião,27.9,2.2,999.4,13.4,9.6,0.5,9.5,15.5,3.3,14.1,19.4
Batalha,23.6,3.3,1167.3,14.2,10.3,0.8,11.3,8.1,3.6,14.9,27.1
Castanheira de Pêra,19.3,2.5,970.2,12.7,7.3,0.9,10.4,15,8.1,17.4,17.9
Figueiró dos Vinhos,43.2,3.7,948.7,16.9,5.9,2.6,0.1,19.9,4,16.9,21.1
Leiria,20.9,20.6,1202.6,22.4,14.2,1.4,10.6,11.3,5,17.3,26.3
Marinha Grande,16.8,21.5,1387.8,21.1,9.8,0,15.6,12.8,12.9,14.3,28.4
Pedrógão Grande,40.8,5.5,999.4,22.5,8.1,-4.2,1.6,23.7,2.2,20,26.3
Pombal,27.7,10.2,1095.6,13.7,9,0.9,10,10.4,2.7,15.6,19.7
Porto de Mós,24.3,13.3,1177.4,14.3,11.6,3.7,9.8,11.9,4.2,18.6,26.9
Viseu Dão Lafões,22.1,27.7,1099.7,19.7,9.4,0.3,8.6,15.4,1.7,21,27.4
Aguiar da Beira,46.3,1,894.1,13.1,7.2,-1.6,4.5,14.3,3.5,13.1,15.7
Carregal do Sal,14.4,17.9,1080.7,20.9,12.8,5,5.9,18.5,5.4,19.2,28.6
Castro Daire,42,4.8,930,12,5.6,-1.3,8,17.6,2.9,9,16.8
Mangualde,15.1,45.4,1209.3,11.3,7.7,0.1,16,19.3,7.5,14,24.5
Nelas,14.4,34.3,1161.7,17,10.3,2,12.9,16.8,13,23.7,40.6
Oliveira de Frades,16.9,21.8,1141.3,18.5,8.6,-0.9,8.3,14.2,5.4,27.1,34.6
Penalva do Castelo,23.9,1.9,992.6,12,5.3,-1.2,9.7,16.2,3.9,10.3,21.4
Santa Comba Dão,25.6,19.9,1024.2,19.9,10.6,17.1,8.8,9.9,6.3,19.2,24.3
São Pedro do Sul,30.9,4.2,900.1,12.4,7.6,1.6,6.8,11.3,2.8,16.1,21.6
Sátão,38.2,17.6,886.3,9.9,6.8,-5.2,3.7,11.7,1.8,12.3,15.9
Tondela,18.9,30.9,1154.9,20.2,8.2,1.3,11.1,17,4.7,28.1,37.9
Vila Nova de Paiva,41.2,3,931.5,12.7,4.2,-3.3,6.9,19.6,5,14.7,16.6
Viseu,21.2,31.7,1128.8,24.6,10.7,-1.1,5.5,16.6,3.7,21.7,27.4
Vouzela,27.3,30.5,952.5,15,8.9,2,8.7,10.3,1.4,17.4,27.4
Beira Baixa,26.6,24.1,1082,21.4,7.4,-1.9,8.1,13.4,3.1,21.4,27.6
Castelo Branco,23.6,30.8,1075.4,22.1,8.1,-2.4,7.2,10.8,1.8,21.4,27.2
Idanha-a-Nova,49.3,3.1,986,21.5,5.2,-1.3,3.3,9.7,5.5,20.6,24.8
Oleiros,33.7,8.9,1019.9,10.5,6.5,2.1,10.1,24.2,10.8,9.6,17.7
Penamacor,45.4,5.1,998.7,14.7,4.9,-0.3,7,20.7,8.7,22,29.5
Proença-a-Nova,37.4,10.5,1056.3,20.8,5.4,-2.2,9.1,42.2,11.1,33.4,42.4
Vila Velha de Ródão,13.7,1.6,1373.2,25,5.4,0.1,14.9,22.1,11.6,20,34.9
Médio Tejo,23.4,16.5,1115.8,17.4,10.5,0.1,9.9,14.8,5.8,19.2,27.5
Abrantes,20.8,17.4,1167.8,18.4,10.2,0.7,11.4,16.7,15.3,22.3,32.2
Alcanena,21.6,18.6,1161.3,18.8,10.5,-0.3,6,11.1,3.1,22.5,32.6
Constância,11.2,1.3,1242.4,16.9,5.9,-1.6,17.9,27,18.2,31.5,41.7
Entroncamento,16.9,38,1212.1,20,8.7,1.5,12.9,22.4,1.1,20.1,28.7
Ferreira do Zêzere,21.9,2.3,1018.3,11.7,8.5,-0.2,8.1,10.3,5.6,14.1,22.1
Mação,24.7,8.7,939.5,11.1,6.3,-9.4,9.2,22.5,2.4,13,22.1
Ourém,26.4,13,1115.1,18.1,11.5,1.4,11.2,14.1,7.7,15.2,24.1
Sardoal,55,0.4,874,13.3,6.4,-1.7,2.8,6.7,1.2,10,12.1
