,Total de despesas em atividades culturais e criativas (Euros),"Despesas correntes, Total (Euros)","Despesas correntes, das quais, Património, Total  (Euros)","Despesas correntes, das quais, Património, Museus (Euros)","Despesas correntes, das quais, Bibliotecas e arquivos, Total (Euros)","Despesas correntes, das quais, Bibliotecas e arquivos, Bibliotecas (Euros)","Despesas correntes, das quais, Artes do espetáculo, Total (Euros)","Despesas correntes, das quais, Artes do espetáculo, Música (Euros)","Despesas correntes, das quais, Artes do espetáculo, Multidisciplinares (Euros)","Despesas correntes, das quais, Artes do espetáculo, Construção e manutenção de recintos de espetáculos (Euros)","Despesas correntes, das quais, Atividades interdisciplinares, Total (Euros)","Despesas correntes, das quais, Atividades interdisciplinares, Apoio a entidades culturais e criativas (Euros)"
Santa Maria,458497,246797,0,0,118457,118457,0,0,0,0,83164,72047
Vila do Porto,458497,246797,0,0,118457,118457,0,0,0,0,83164,72047
São Miguel,4956617,4177967,685970,570299,636338,379842,1143966,259046,26500,239475,1528062,448506
Lagoa (R.A.A.),340210,326220,0,0,5014,5014,36439,31864,0,0,284767,31500
Nordeste,99416,99416,3258,3258,16029,16029,25359,15486,0,9873,41301,41301
Ponta Delgada,2515177,2515177,196322,80651,194422,94408,931718,211696,26500,229602,1038567,248215
Povoação,73581,73581,0,0,54181,54181,0,0,0,0,17400,17400
Ribeira Grande,1415154,650494,338935,338935,182338,93508,129221,0,0,0,0,0
Vila Franca do Campo,513079,513079,147455,147455,184354,116702,21229,0,0,0,146027,110090
Terceira,3527435,1843517,286972,0,83215,48645,702715,180097,0,84205,515865,247665
Angra do Heroísmo,2642793,1262906,286972,0,0,0,702715,180097,0,84205,18469,18469
Vila da Praia da Vitória,884642,580611,0,0,83215,48645,0,0,0,0,497396,229196
Graciosa,240563,226220,15342,0,38931,38931,1010,0,0,0,73951,73951
Santa Cruz da Graciosa,240563,226220,15342,0,38931,38931,1010,0,0,0,73951,73951
São Jorge,527503,391563,112789,112789,22041,22041,113146,0,113146,0,91556,91556
Calheta (R.A.A.),51484,47236,0,0,0,0,0,0,0,0,40500,40500
Velas,476019,344327,112789,112789,22041,22041,113146,0,113146,0,51056,51056
Pico,1399892,962178,15703,15703,253361,253361,198471,60330,1996,14700,304206,200386
Lajes do Pico,553004,158790,0,0,74120,74120,41998,0,1996,0,3750,0
Madalena,423838,420338,15703,15703,139136,139136,126973,56230,0,0,38000,38000
São Roque do Pico,423050,383050,0,0,40105,40105,29500,4100,0,14700,262456,162386
Faial,517576,456895,0,0,6606,0,176714,37482,10804,41760,103053,46905
Horta,517576,456895,0,0,6606,0,176714,37482,10804,41760,103053,46905
Flores,101067,101067,4436,4436,0,0,800,800,0,0,29200,29200
Lajes das Flores,33666,33666,1548,1548,0,0,800,800,0,0,0,0
Santa Cruz das Flores,67401,67401,2888,2888,0,0,0,0,0,0,29200,29200
Corvo,18905,18905,0,0,15799,15799,0,0,0,0,0,0
Corvo,18905,18905,0,0,15799,15799,0,0,0,0,0,0
R. A. Madeira,6344575,6089996,937206,782033,1076892,1075541,1621346,199393,425540,30158,1648248,1506840
Calheta (R.A.M.),377062,377062,0,0,11405,11405,30937,30937,0,0,162100,162100
Câmara de Lobos,1132148,1110444,70102,70102,311386,310481,488017,52608,405251,30158,143993,110253
Funchal,2648299,2473707,321176,321176,472472,472472,962757,0,708,0,539204,539204
Machico,570282,566576,407541,390755,58175,58175,0,0,0,0,100860,100860
Ponta do Sol,531988,477411,126387,0,24748,24302,46312,22525,19581,0,208143,100475
Porto Moniz,31926,31926,0,0,16880,16880,0,0,0,0,0,0
Ribeira Brava,127284,127284,0,0,57709,57709,0,0,0,0,39093,39093
Santa Cruz,504012,504012,0,0,64310,64310,60500,60500,0,0,178796,178796
Santana,26760,26760,0,0,0,0,0,0,0,0,26760,26760
São Vicente,184273,184273,0,0,37689,37689,32550,32550,0,0,114034,114034
Porto Santo,210541,210541,12000,0,22118,22118,273,273,0,0,135265,135265
