,"Annual mean value of pensions , Total, €","Annual mean value of pensions , Disability, €","Annual mean value of pensions , Old age, €","Annual mean value of pensions , Survival , €","Mean value of unemployment benefits, MF, €","Mean value of unemployment benefits, M, €","Mean value of unemployment benefits, F, €","Mean value of sickness benefits, F, €","Mean number of days of unemployment benefits, MF, days","Mean number of days of unemployment benefits, M, days","Mean number of days of unemployment benefits, F, days","Mean number of days of sickness benefits , F, days"
Castelo de Vide,4879,5646,5566,2948,3121,2860,3404,919,178,164,194,55
Crato,4821,5718,5396,3257,2484,2226,2682,1266,154,134,170,78
Elvas,4736,5030,5426,2992,2777,2827,2741,982,164,159,169,58
Fronteira,4822,4758,5518,2853,2801,3097,2630,1240,171,173,170,70
Gavião,4992,5814,5698,3160,2979,3133,2807,1161,167,166,168,66
Marvão,4649,4749,5426,2715,2994,3038,2947,1183,185,180,190,74
Monforte,4630,5037,5362,2798,2803,2835,2777,1194,182,173,190,68
Nisa,5012,5375,5659,3316,2681,2833,2552,1317,167,174,161,76
Ponte de Sor,5006,5704,5726,2985,2561,2599,2533,1416,158,147,166,83
Portalegre,4870,5244,5487,3074,2770,2758,2779,1097,165,159,170,61
Sousel,4514,5304,5180,2830,2317,2424,2261,1532,149,142,153,89
Alentejo Central,5229,5868,5932,3140,2808,3069,2640,1245,160,159,161,67
Alandroal,4842,5568,5486,3020,2355,2970,2053,1395,143,156,136,82
Arraiolos,4984,5042,5694,3031,3078,2955,3173,1178,176,155,191,66
Borba,5560,5724,6393,3125,2412,2600,2320,1424,153,148,155,82
Estremoz,5248,5688,5976,3181,2557,3133,2209,1214,145,164,134,71
Évora,5480,6314,6136,3331,3074,3361,2867,1155,168,168,168,57
Montemor-o-Novo,5096,5894,5784,3062,2676,2957,2482,1157,150,151,148,66
Mora,5106,5857,5813,2960,2408,2365,2433,1348,142,125,151,77
Mourão,4596,5281,5290,2707,2561,2756,2404,1120,156,166,148,64
Portel,4399,5007,4982,2708,2674,2648,2690,1087,166,150,176,65
Redondo,4845,5223,5594,2884,2444,2613,2372,949,150,158,147,55
Reguengos de Monsaraz,4939,5633,5621,2994,3182,3434,3027,1048,186,177,192,63
Vendas Novas,5577,6100,6372,3339,2697,2923,2548,2111,150,144,154,101
Viana do Alentejo,4641,6119,5206,2887,2711,2714,2709,1114,166,151,175,60
Vila Viçosa,5799,6113,6643,3396,2312,2477,2224,1157,132,123,136,69
Algarve,5349,5640,6122,3184,2757,2783,2737,1270,165,159,169,67
Albufeira,5550,5550,6400,3203,2562,2529,2591,1659,156,149,162,81
Alcoutim,4162,5293,4713,2586,3177,3276,3079,1038,170,151,190,63
Aljezur,4598,5051,5287,2744,2460,2384,2530,1029,156,147,163,61
Castro Marim,4877,4414,5593,2945,2844,3204,2554,1353,174,184,166,75
Faro,5894,6009,6720,3453,3133,3210,3070,1236,177,173,180,63
Lagoa,5397,5859,6136,3270,2725,2747,2709,1169,166,163,168,60
Lagos,5285,5564,6111,3071,2695,2719,2678,1184,165,160,169,67
Loulé,5403,5771,6194,3169,2851,2880,2829,1488,166,161,170,76
Monchique,4376,5384,4881,2740,2782,2678,2853,1373,177,163,187,77
Olhão,5153,5287,5884,3211,2881,2951,2833,1087,171,163,176,58
Portimão,5732,5781,6520,3434,2691,2744,2650,1073,164,159,168,58
São Brás de Alportel,4807,5639,5536,2787,3357,3408,3322,1458,182,178,185,75
Silves,5090,5690,5828,3041,2794,2795,2793,1365,167,161,172,76
Tavira,4819,5067,5549,2959,2635,2651,2623,1111,160,154,165,60
Vila do Bispo,5135,4971,5910,3120,2621,2670,2583,950,159,157,161,63
Vila Real de Santo António,5206,5857,5935,3166,2552,2639,2490,1179,160,157,163,68
R. A. Açores,5254,5941,6170,3202,2684,2736,2631,1481,166,166,165,78
Santa Maria,6117,6100,7855,3403,2419,2355,2469,1394,158,150,164,71
Vila do Porto,6117,6100,7855,3403,2419,2355,2469,1394,158,150,164,71
São Miguel,5524,6195,6671,3332,2643,2668,2616,1694,164,165,164,87
Lagoa (R.A.A.),5315,5413,6776,3189,2673,2643,2715,1652,169,166,172,93
Nordeste,3944,5141,4487,2724,2538,2442,2649,988,174,170,180,72
Ponta Delgada,6252,6777,7574,3674,2853,2883,2825,1848,168,168,167,87
Povoação,4264,5177,4912,3022,2300,2386,2218,2014,159,165,154,107
Ribeira Grande,4739,5577,5695,2874,2545,2541,2551,1516,163,161,166,84
Vila Franca do Campo,4363,5440,4892,3087,2331,2560,2135,1228,144,155,135,74
Terceira,5408,5676,6314,3299,2943,3113,2771,1223,172,175,170,63
Angra do Heroísmo,4995,5671,5718,3101,2932,3108,2750,1161,170,175,165,60
Vila da Praia da Vitória,6105,5686,7312,3630,2966,3123,2815,1327,176,174,179,70
Graciosa,3987,4859,4504,2745,2378,2281,2465,1407,164,156,171,92
Santa Cruz da Graciosa,3987,4859,4504,2745,2378,2281,2465,1407,164,156,171,92
São Jorge,4151,5567,4619,2830,2687,2831,2525,998,176,186,164,63
Calheta (R.A.A.),3910,4997,4361,2777,2505,2713,2212,851,165,180,144,61
Velas,4337,5841,4837,2871,2778,2898,2655,1083,181,189,173,64
Pico,4554,5663,5124,2711,2511,2479,2535,1303,158,153,162,74
Lajes do Pico,4494,5763,5088,2654,2367,2279,2443,1353,156,146,164,79
Madalena,4680,5768,5231,2779,2646,2682,2622,1315,161,155,166,68
São Roque do Pico,4384,5334,4957,2666,2505,2494,2513,1212,156,165,150,78
Faial,4696,5406,5311,2816,2815,2939,2689,1332,169,172,166,75
Horta,4696,5406,5311,2816,2815,2939,2689,1332,169,172,166,75
Flores,4658,…,5171,…,2536,2387,2628,1402,171,172,170,80
Lajes das Flores,4372,…,4859,…,2422,2319,2479,1284,171,171,171,72
Santa Cruz das Flores,4843,5903,5384,3043,2638,2441,2774,1457,171,173,169,83
Corvo,4681,…,5377,…,2062,1674,2380,1122,143,115,166,57
Corvo,4681,…,5377,…,2062,1674,2380,1122,143,115,166,57
R. A. Madeira,5125,5566,5965,3068,3120,3244,3009,1784,188,190,187,87
Calheta (R.A.M.),3956,4717,4539,2428,3072,3101,3047,1911,192,189,194,100
Câmara de Lobos,4405,5166,5196,2534,2894,3069,2748,1311,181,185,178,74
Funchal,5790,6011,6742,3483,3291,3416,3178,1607,195,197,194,77
Machico,5100,5786,5792,3189,2862,2892,2827,3302,173,166,182,127
Ponta do Sol,4062,4692,4662,2488,2592,2513,2653,1491,169,162,174,85
Porto Moniz,3834,4277,4413,2473,3052,3215,2953,1451,193,207,185,101
Ribeira Brava,4437,5124,5114,2494,2840,2921,2773,1484,181,181,181,89
Santa Cruz,5143,5667,5973,3110,3403,3600,3233,1571,197,201,193,82
Santana,4014,4682,4637,2499,2624,2916,2297,1579,180,194,163,108
São Vicente,3977,4643,4597,2466,2709,2755,2663,1746,190,195,185,133
Porto Santo,6135,6054,7315,3300,2518,2647,2396,1604,159,160,158,70
