,"Recipients, MF, No.","Recipients, M, No.","Recipients, F, No."," Days subsidized , MF, No."," Days subsidized , M, No."," Days subsidized , F, No.","Values paid, MF, thousand euros","Values paid, M, thousand euros","Values paid, F, thousand euros"
Constância,233,98,135,18459,7455,11004,344,165,179
Entroncamento,1353,564,789,82565,30938,51627,1658,740,918
Ferreira do Zêzere,481,206,275,41239,15091,26148,721,320,402
Mação,331,134,197,21681,8208,13473,351,146,205
Ourém,2907,1289,1618,198010,82106,115904,3569,1656,1913
Sardoal,205,99,106,14630,7838,6792,241,136,105
Sertã,740,346,394,46452,20949,25503,732,349,383
Tomar,1927,813,1114,172924,69309,103615,3036,1399,1637
Torres Novas,2484,1116,1368,185482,85280,100202,3402,1743,1660
Vila de Rei,160,57,103,8352,3232,5120,142,63,79
Vila Nova da Barquinha,428,169,259,29041,9700,19341,503,196,307
Beiras e Serra da Estrela,11193,4693,6500,842209,346323,495886,13969,6200,7769
Almeida,294,111,183,23644,11267,12377,372,197,174
Belmonte,350,143,207,25433,9939,15494,396,172,224
Celorico da Beira,348,131,217,29180,9236,19944,466,160,306
Covilhã,2564,1053,1511,159298,63524,95774,2741,1185,1556
Figueira de Castelo Rodrigo,204,90,114,14623,7453,7170,222,121,102
Fornos de Algodres,207,91,116,16706,6862,9844,254,114,140
Fundão,1462,618,844,99898,40270,59628,1624,692,932
Gouveia,582,246,336,45368,18166,27202,726,294,431
Guarda,2044,864,1180,160255,69353,90902,2918,1411,1508
Manteigas,148,73,75,10088,4609,5479,169,73,96
Mêda,195,83,112,15005,6843,8162,212,97,115
Pinhel,485,241,244,44469,22097,22372,634,326,309
Sabugal,515,209,306,49738,16869,32869,764,268,496
Seia,1392,561,831,118576,46468,72108,1925,812,1113
Trancoso,403,179,224,29928,13367,16561,545,279,266
A. M. Lisboa,149398,59703,89695,9361527,3687931,5673596,200997,90749,110248
Alcochete,1023,390,633,103870,35720,68150,2315,1050,1265
Almada,9202,3498,5704,612462,224715,387747,12648,5458,7190
Amadora,8839,3388,5451,445105,176927,268178,8660,3802,4858
Barreiro,4500,1802,2698,341223,124720,216503,7577,3362,4215
Cascais,9161,3684,5477,462831,192800,270031,10941,5082,5859
Lisboa,21741,8945,12796,1089328,456910,632418,26248,11386,14861
Loures,11198,4532,6666,626648,258999,367649,12560,5918,6642
Mafra,4663,1971,2692,327479,136024,191455,6830,3251,3579
Moita,4479,1765,2714,416508,153544,262964,8725,3932,4794
Montijo,3478,1330,2148,338740,110561,228179,6950,2662,4288
Odivelas,7947,3284,4663,419322,183154,236168,8355,4075,4280
Oeiras,7255,2774,4481,355887,142493,213394,8777,3847,4930
Palmela,4459,1792,2667,439217,160204,279013,9744,4350,5394
