,"Museums, Visitors per museum, No.","Museums, Ratio of school visitors, %","Local administration total expenditure on cultural and creative activities per inhabitant, Ratio of school visitors, €","Local administration total expenditure on sports activities and equipments per inhabitant, Ratio of school visitors, €","Local administration expenditure on culture and sports as share of total expenditures, Ratio of school visitors, %"
Aljezur,707,1.4,77.7,63,7.4
Castro Marim,//,//,71.6,53.9,5.7
Faro,7438,19.9,56.1,22.3,10.4
Lagoa,//,//,99.3,122.2,12.2
Lagos,...,...,120.8,106.9,12.2
Loulé,...,...,108.6,132.5,11.6
Monchique,//,//,42,50.9,4.6
Olhão,1465,35.7,26,25.3,6.8
Portimão,25617,2.8,44.1,9.1,5.4
São Brás de Alportel,...,...,69.5,75.3,12.9
Silves,8756,1.7,59.6,44.2,9.4
Tavira,28943,0.1,90.9,32.2,10.1
Vila do Bispo,//,//,165.2,15.4,8.6
Vila Real de Santo António,//,//,56.7,56.1,10.1
R. A. Açores,10984,7.9,49.7,32.4,9.1
Santa Maria,3051,22.1,84.6,90.4,12.4
Vila do Porto,3051,22.1,84.6,90.4,12.4
São Miguel,8223,11.5,37.2,26.2,8.3
Lagoa (R.A.A.),...,...,23.9,12.1,4.9
Nordeste,//,//,22.7,13.8,2.6
Ponta Delgada,26950,6.5,37.4,23.7,10.1
Povoação,//,//,12.7,9.5,1.6
Ribeira Grande,1363,16.9,45.1,47.1,11.5
Vila Franca do Campo,...,...,49.7,13.1,6
Terceira,15459,10.7,66.2,36.4,12.5
Angra do Heroísmo,15459,10.7,78.3,40.8,16.4
Vila da Praia da Vitória,//,//,45.4,28.6,7.5
Graciosa,5176,49.1,58.8,60.1,9.3
Santa Cruz da Graciosa,5176,49.1,58.8,60.1,9.3
São Jorge,4407,19.1,63,14.5,4.2
Calheta (R.A.A.),4407,19.1,15,9.9,1.5
Velas,//,//,96.5,17.7,5.8
Pico,48906,0.5,100.5,20.1,9.4
Lajes do Pico,48906,0.5,127.1,16.6,12.2
Madalena,//,//,66.9,11.6,7.6
São Roque do Pico,//,//,130.8,41.7,9
Faial,12266,3.9,36.1,72.5,13.3
Horta,12266,3.9,36.1,72.5,13.3
Flores,5876,...,29.4,14,1.9
Lajes das Flores,//,//,23.9,11.3,1.2
Santa Cruz das Flores,5876,...,33.2,15.8,2.7
Corvo,//,//,48,21.6,1
Corvo,//,//,48,21.6,1
R. A. Madeira,11004,5.4,25.3,12.9,4.2
Calheta (R.A.M.),//,//,34.5,32.3,4.5
Câmara de Lobos,3090,8.2,35.2,8.6,8.5
Funchal,14086,4.9,25,11,3.6
Machico,7031,2.3,29.1,29.6,8
Ponta do Sol,//,//,63.4,25.3,11.8
Porto Moniz,//,//,12.7,60.9,4
Ribeira Brava,4212,24.4,10,11.2,2.2
Santa Cruz,//,//,11.9,2.6,2.1
Santana,//,//,4.1,21.3,1.9
São Vicente,704,8.7,37.8,18.8,3
Porto Santo,10052,8.9,40.7,3.5,4.4
