,"Quintiles of gross reported income by taxable person, 1st quintile, €","Quintiles of gross reported income by taxable person, 2nd quintile, €","Quintiles of gross reported income by taxable person, 3rd quintile, €","Quintiles of gross reported income by taxable person, 4th quintile, €","Distribution of the number of taxable persons by gross reported income class, Less than  5 000 €, No.","Distribution of the number of taxable persons by gross reported income class, From 5 000 to less than 10 000 €, No.","Distribution of the number of taxable persons by gross reported income class, From 10 000 to less than 13 500 €, No.","Distribution of the number of taxable persons by gross reported income class, From  13 500 to less than 19 000 €, No.","Distribution of the number of taxable persons by gross reported income class, From  19 000 to less than 32 500 €, No.","Distribution of the number of taxable persons by gross reported income class, 32 500 € or more, No."
Alter do Chão,5663,7912,9736,13938,352,1047,385,218,201,65
Arronches,5324,7855,10077,14151,334,890,379,239,146,59
Avis,5378,7491,9539,13069,470,1366,484,305,175,55
Campo Maior,6245,9170,11938,15776,752,1883,1414,948,546,177
Castelo de Vide,5584,8106,10269,14499,360,1015,454,273,188,86
Crato,5631,7817,9558,13616,327,1150,399,262,186,32
Elvas,5460,8100,10733,15484,2414,5762,2766,1803,1439,549
Fronteira,5322,7210,9343,13856,373,1073,320,236,167,67
Gavião,5181,7537,9334,12839,457,1202,422,241,157,48
Marvão,5232,7538,9574,12917,434,1020,411,215,149,45
Monforte,//,//,//,//,314,857,313,189,145,48
Nisa,5282,7559,9885,14000,848,2000,815,502,418,93
Ponte de Sor,4716,6713,8912,12735,2576,5158,1722,1016,772,260
Portalegre,6167,8665,11701,17831,2054,6581,3003,2517,2189,882
Sousel,5085,7147,8995,12816,607,1533,462,320,195,66
Alentejo Central,6025,8354,10972,16150,13833,44909,20192,14455,11440,4707
Alandroal,5308,7168,8926,11889,639,2022,662,311,153,39
Arraiolos,5795,8090,10201,14203,636,2192,907,632,364,103
Borba,5775,7668,9635,13025,609,2375,900,473,319,99
Estremoz,5982,8128,10411,14943,1100,4170,1706,1105,874,289
Évora,7010,9725,13194,20291,3724,12395,7478,6302,5782,2866
Montemor-o-Novo,5880,8120,10318,14761,1427,4910,1962,1322,922,388
Mora,5575,7715,9529,13657,460,1628,532,371,237,62
Mourão,//,//,//,//,270,695,309,171,93,28
Portel,4877,6995,8610,11866,832,1965,593,333,190,51
Redondo,5224,7212,9139,12863,797,2230,668,448,296,89
Reguengos de Monsaraz,5490,7742,10181,14506,1097,3040,1246,860,569,181
Vendas Novas,6157,8528,11231,16255,1018,3120,1465,1106,876,281
Viana do Alentejo,5553,7837,9962,14094,557,1597,638,402,317,65
Vila Viçosa,6085,8120,10270,14259,667,2570,1126,619,448,166
Algarve,5063,7900,10561,15973,65501,124064,56039,40933,34468,14161
Albufeira,4902,7603,10153,14995,7075,13150,5848,3883,3143,1154
Alcoutim,//,//,//,//,338,824,291,186,113,34
Aljezur,4556,6851,9255,13597,904,1450,535,383,241,114
Castro Marim,4844,7157,9603,14075,978,1915,722,502,366,120
Faro,5910,8959,12638,20182,7399,15193,8110,7092,7133,3607
Lagoa,4794,7606,10121,15214,3732,6535,2817,2030,1649,584
Lagos,4942,7743,10368,15357,4779,8724,4036,2708,2258,998
Loulé,4757,7667,10360,15572,12059,20192,9191,6658,5322,2378
Monchique,4711,6716,8773,12726,826,1511,473,308,210,80
Olhão,5086,7930,10483,15445,5698,11087,5139,3627,2937,987
Portimão,5346,8032,10756,16424,7406,16183,7185,5292,4664,1808
São Brás de Alportel,5131,8120,10906,16561,1438,2666,1248,1009,850,329
Silves,5172,7863,10258,14748,4853,10143,4590,3150,2305,706
Tavira,4565,7226,9793,14936,4553,7354,2960,2022,1810,768
Vila do Bispo,4991,7705,10000,14300,811,1615,718,521,264,123
Vila Real de Santo António,5046,7610,9919,14556,2652,5522,2176,1562,1203,371
R. A. Açores,4958,7803,10435,16894,33329,60038,25130,17568,18929,8396
Santa Maria,4803,7785,10854,19050,828,1342,534,416,413,369
Vila do Porto,4803,7785,10854,19050,828,1342,534,416,413,369
São Miguel,4738,7488,10318,17123,19863,31638,12973,9006,10411,4982
Lagoa (R.A.A.),4263,6437,9128,14444,2532,3590,1151,790,848,404
Nordeste,3656,5694,8182,11613,1000,1184,373,226,167,55
Ponta Delgada,5662,8708,12005,20952,7615,15737,7667,5607,7024,3759
Povoação,3383,5612,8159,11900,1345,1475,457,276,263,72
Ribeira Grande,4258,6566,9178,13611,5127,7221,2660,1655,1631,534
Vila Franca do Campo,3604,5497,8100,11839,2244,2431,665,452,478,158
Terceira,5491,8400,10958,17410,6471,14066,6459,4565,4748,1862
Angra do Heroísmo,5547,8490,11232,18240,4085,8772,3979,2951,3186,1419
Vila da Praia da Vitória,5412,8222,10575,16054,2386,5294,2480,1614,1562,443
Graciosa,4599,6699,9278,14014,693,1229,416,289,263,90
Santa Cruz da Graciosa,4599,6699,9278,14014,693,1229,416,289,263,90
São Jorge,4471,7044,9249,13214,1536,2595,960,558,517,135
Calheta (R.A.A.),3948,6441,8739,11811,739,1195,365,203,174,42
Velas,4750,7466,9800,14305,797,1400,595,355,343,93
Pico,5227,7670,9791,14750,1813,4200,1521,997,964,295
Lajes do Pico,4959,7380,9507,14120,606,1314,430,286,296,74
Madalena,5474,7981,10032,14907,737,1927,768,475,432,129
São Roque do Pico,4953,7432,9739,15380,470,959,323,236,236,92
Faial,5912,8622,11483,17988,1540,3823,1801,1388,1351,564
Horta,5912,8622,11483,17988,1540,3823,1801,1388,1351,564
Flores,4931,7484,9948,15217,540,1037,398,320,233,85
Lajes das Flores,//,//,//,//,236,428,133,105,76,38
Santa Cruz das Flores,//,//,//,//,304,609,265,215,157,47
Corvo,//,//,//,//,45,108,68,29,29,14
Corvo,//,//,//,//,45,108,68,29,29,14
R. A. Madeira,5107,8102,10932,17403,30489,56200,25783,18762,19683,8260
Calheta (R.A.M.),3884,6195,9075,13660,1710,2018,790,530,500,132
Câmara de Lobos,4393,6521,8714,11983,4622,8049,2734,1461,1125,226
Funchal,5685,8750,12346,20891,11648,23358,11898,9208,10870,5897
Machico,4863,7286,9689,14142,2659,5242,2047,1330,1186,248
Ponta do Sol,4104,6332,8874,13419,1192,1629,601,352,387,97
Porto Moniz,//,//,//,//,410,556,183,143,115,43
Ribeira Brava,4481,7008,9272,13670,1666,2749,1008,678,596,123
Santa Cruz,5660,8792,12005,18247,4230,8480,4905,3943,3814,1110
Santana,4271,6267,8562,12098,1120,1692,545,326,261,61
São Vicente,4271,6373,8850,13377,704,1053,328,211,227,71
Porto Santo,6099,9012,12379,19493,528,1374,744,580,602,252
