,"Total, Total (milhares de euros)","Total, Pensions on 31 Dec. (milhares de euros)","Disability, Total (milhares de euros)","Disability, Pensions on 31 Dec. (milhares de euros)","Old age, Total (milhares de euros)","Old age, Pensions on 31 Dec. (milhares de euros)","Survival , Total (milhares de euros)","Survival , Pensions on 31 Dec. (milhares de euros)"
Vila da Praia da Vitória,33868,33257,3864,3814,24590,24143,5413,5301
Graciosa,4995,4862,629,618,3271,3183,1095,1061
Santa Cruz da Graciosa,4995,4862,629,618,3271,3183,1095,1061
São Jorge,10333,10126,1571,1552,6614,6483,2148,2092
Calheta (R.A.A.),4175,4079,494,489,2744,2674,937,916
Velas,6157,6047,1077,1063,3869,3809,1211,1176
Pico,21553,21059,3568,3524,14547,14187,3437,3348
Lajes do Pico,7188,7045,888,877,5146,5037,1154,1130
Madalena,9963,9703,1874,1851,6566,6379,1524,1473
São Roque do Pico,4401,4312,806,796,2835,2771,759,744
Faial,17607,17335,2323,2283,12674,12502,2611,2550
Horta,17607,17335,2323,2283,12674,12502,2611,2550
Flores,4300,4211,563,550,2943,2892,794,770
Lajes das Flores,1615,1579,227,218,1072,1053,316,308
Santa Cruz das Flores,2685,2632,336,332,1871,1838,478,462
Corvo,400,389,29,29,294,287,78,74
Corvo,400,389,29,29,294,287,78,74
R. A. Madeira,379970,372179,36800,36084,280984,275480,62186,60616
Calheta (R.A.M.),14502,14044,1345,1324,10670,10320,2488,2400
Câmara de Lobos,38388,37660,5316,5241,26631,26112,6440,6307
Funchal,184751,181227,14682,14368,139903,137492,30166,29367
Machico,34384,33758,4161,4076,24564,24140,5659,5542
Ponta do Sol,10160,9861,988,982,7484,7244,1688,1635
Porto Moniz,4179,4074,289,285,3145,3061,745,728
Ribeira Brava,18727,18306,2330,2310,13753,13433,2644,2563
Santa Cruz,47798,46793,5199,5091,34726,34011,7873,7690
Santana,10721,10437,1115,1089,7703,7498,1903,1850
São Vicente,7674,7513,700,693,5610,5482,1363,1339
Porto Santo,8685,8506,674,624,6794,6686,1217,1196
