,"Docentes, Educação pré-escolar, Total (N.º)","Docentes, Educação pré-escolar, Público (N.º)","Docentes, Educação pré-escolar, Privado  (N.º)","Docentes, 1º ciclo do ensino básico, Total (N.º)","Docentes, 1º ciclo do ensino básico, Público (N.º)","Docentes, 1º ciclo do ensino básico, Privado  (N.º)","Docentes, 2º ciclo do ensino básico, Total (N.º)","Docentes, 2º ciclo do ensino básico, Público (N.º)","Docentes, 2º ciclo do ensino básico, Privado  (N.º)"
Manteigas,3,2,1,9,9,0,8,8,0
Mêda,7,5,2,13,13,0,13,13,0
Pinhel,14,10,4,21,21,0,14,14,0
Sabugal,18,14,4,25,25,0,14,12,2
Seia,39,23,16,63,63,0,43,43,0
Trancoso,16,11,5,23,23,0,22,22,0
A. M. Lisboa,4741,1971,2770,8491,6648,1843,6283,5121,1162
Alcochete,40,21,19,70,62,8,48,38,10
Almada,274,126,148,502,439,63,388,345,43
Amadora,247,109,138,496,430,66,376,326,50
Barreiro,127,68,59,232,205,27,178,167,11
Cascais,382,93,289,656,345,311,415,225,190
Lisboa,1184,370,814,1852,1072,780,1458,948,510
Loures,300,158,142,570,513,57,400,362,38
Mafra,132,95,37,269,252,17,174,142,32
Moita,92,57,35,184,176,8,137,137,0
Montijo,81,48,33,170,155,15,124,107,17
Odivelas,220,105,115,406,376,30,303,285,18
Oeiras,307,92,215,459,350,109,326,276,50
Palmela,98,53,45,211,171,40,165,136,29
Seixal,240,108,132,453,396,57,333,299,34
Sesimbra,80,49,31,158,151,7,124,124,0
Setúbal,172,52,120,366,325,41,295,262,33
Sintra,548,276,272,1061,883,178,740,662,78
Vila Franca de Xira,217,91,126,376,347,29,299,280,19
Alentejo,1244,863,381,2224,2177,47,1661,1616,45
Alentejo Litoral,165,116,49,286,286,0,194,185,9
Alcácer do Sal,19,14,5,30,30,0,29,29,0
Grândola,22,18,4,44,44,0,33,33,0
Odemira,41,30,11,77,77,0,50,41,9
Santiago do Cacém,47,34,13,88,88,0,43,43,0
Sines,36,20,16,47,47,0,39,39,0
Baixo Alentejo,219,164,55,413,409,4,305,295,10
Aljustrel,16,12,4,31,31,0,17,17,0
Almodôvar,12,10,2,21,21,0,13,13,0
Alvito,7,7,0,10,10,0,8,8,0
Barrancos,3,3,0,5,5,0,7,7,0
Beja,66,36,30,133,129,4,105,95,10
Castro Verde,15,12,3,22,22,0,15,15,0
Cuba,9,9,0,15,15,0,10,10,0
Ferreira do Alentejo,13,9,4,27,27,0,12,12,0
Mértola,9,9,0,20,20,0,9,9,0
Moura,26,21,5,52,52,0,44,44,0
Ourique,8,6,2,13,13,0,11,11,0
Serpa,25,22,3,47,47,0,41,41,0
Vidigueira,10,8,2,17,17,0,13,13,0
Lezíria do Tejo,393,270,123,714,693,21,536,533,3
Almeirim,42,29,13,63,63,0,58,58,0
Alpiarça,10,8,2,20,20,0,10,10,0
Azambuja,35,15,20,72,72,0,50,50,0
Benavente,49,37,12,91,91,0,66,66,0
Cartaxo,29,18,11,61,61,0,55,55,0
Chamusca,19,19,0,27,27,0,16,16,0
Coruche,22,15,7,57,57,0,29,29,0
Golegã,12,10,2,15,15,0,15,15,0
Rio Maior,41,29,12,67,59,8,53,53,0
Salvaterra de Magos,32,22,10,56,56,0,50,50,0
Santarém,102,68,34,185,172,13,134,131,3
Alto Alentejo,192,136,56,349,342,7,262,254,8
Alter do Chão,6,6,0,7,7,0,9,9,0
Arronches,7,6,1,7,7,0,9,9,0
Avis,5,5,0,12,12,0,10,10,0
Campo Maior,18,8,10,29,29,0,23,23,0
Castelo de Vide,5,4,1,10,10,0,11,11,0
Crato,5,3,2,12,12,0,10,10,0
Elvas,35,21,14,82,77,5,52,44,8
Fronteira,5,4,1,9,9,0,10,10,0
Gavião,6,5,1,9,9,0,6,6,0
Marvão,5,5,0,7,7,0,9,9,0
Monforte,7,7,0,13,13,0,12,12,0
Nisa,6,6,0,18,18,0,11,11,0
Ponte de Sor,32,22,10,44,42,2,27,27,0
Portalegre,43,29,14,78,78,0,53,53,0
Sousel,7,5,2,12,12,0,10,10,0
Alentejo Central,275,177,98,462,447,15,364,349,15
Alandroal,6,6,0,11,11,0,10,10,0
Arraiolos,10,5,5,18,18,0,13,13,0
Borba,11,8,3,21,21,0,10,10,0
Estremoz,19,16,3,36,36,0,30,30,0
Évora,112,54,58,184,174,10,126,117,9
Montemor-o-Novo,23,16,7,43,43,0,36,36,0
Mora,9,8,1,11,11,0,12,12,0
Mourão,7,7,0,13,13,0,16,16,0
Portel,10,7,3,13,13,0,12,12,0
Redondo,8,6,2,15,15,0,19,19,0
Reguengos de Monsaraz,18,15,3,34,34,0,24,24,0
Vendas Novas,17,11,6,30,25,5,25,19,6
Viana do Alentejo,12,10,2,12,12,0,14,14,0
Vila Viçosa,13,8,5,21,21,0,17,17,0
Algarve,739,428,311,1459,1326,133,1128,1069,59
Albufeira,73,52,21,147,147,0,107,107,0
Alcoutim,3,0,3,5,5,0,7,7,0
Aljezur,10,10,0,18,18,0,15,15,0
Castro Marim,10,5,5,21,21,0,13,13,0
Faro,96,32,64,196,178,18,148,140,8
Lagoa,42,21,21,92,65,27,73,57,16
Lagos,50,18,32,111,88,23,83,79,4
Loulé,136,98,38,230,219,11,189,177,12
Monchique,8,8,0,16,16,0,11,11,0
Olhão,68,42,26,150,142,8,131,124,7
Portimão,88,49,39,178,159,19,133,133,0
São Brás de Alportel,19,15,4,32,32,0,24,24,0
Silves,57,31,26,110,103,7,77,72,5
Tavira,40,16,24,77,66,11,45,43,2
Vila do Bispo,9,9,0,24,15,9,17,12,5
Vila Real de Santo António,30,22,8,52,52,0,55,55,0
R. A. Açores,537,420,117,1070,1015,55,1055,1030,25
Santa Maria,12,12,0,30,30,0,22,22,0
Vila do Porto,12,12,0,30,30,0,22,22,0
São Miguel,294,235,59,638,596,42,619,600,19
Lagoa (R.A.A.),28,26,2,63,63,0,68,68,0
Nordeste,11,11,0,22,22,0,26,26,0
Ponta Delgada,144,103,41,302,260,42,290,271,19
Povoação,14,13,1,33,33,0,30,30,0
Ribeira Grande,75,64,11,167,167,0,150,150,0
Vila Franca do Campo,22,18,4,51,51,0,55,55,0
Terceira,133,96,37,211,203,8,214,208,6
Angra do Heroísmo,84,53,31,134,126,8,137,131,6
Vila da Praia da Vitória,49,43,6,77,77,0,77,77,0
Graciosa,11,8,3,16,16,0,17,17,0
Santa Cruz da Graciosa,11,8,3,16,16,0,17,17,0
São Jorge,16,9,7,33,33,0,46,46,0
Calheta (R.A.A.),7,4,3,15,15,0,22,22,0
Velas,9,5,4,18,18,0,24,24,0
Pico,35,32,3,65,65,0,62,62,0
Lajes do Pico,9,9,0,17,17,0,22,22,0
Madalena,18,16,2,32,32,0,25,25,0
São Roque do Pico,8,7,1,16,16,0,15,15,0
Faial,27,21,6,56,51,5,53,53,0
Horta,27,21,6,56,51,5,53,53,0
Flores,8,7,1,15,15,0,19,19,0
Lajes das Flores,1,1,0,4,4,0,0,0,0
Santa Cruz das Flores,7,6,1,11,11,0,19,19,0
Corvo,1,0,1,6,6,0,3,3,0
Corvo,1,0,1,6,6,0,3,3,0
R. A. Madeira,661,497,164,1471,1236,235,747,709,38
Calheta (R.A.M.),30,27,3,83,77,6,33,33,0
Câmara de Lobos,85,70,15,184,184,0,96,96,0
Funchal,311,196,115,664,483,181,331,293,38
Machico,51,46,5,114,103,11,55,55,0
Ponta do Sol,23,22,1,61,61,0,29,29,0
Porto Moniz,7,7,0,9,9,0,9,9,0
Ribeira Brava,35,35,0,82,82,0,42,42,0
Santa Cruz,77,56,21,173,150,23,106,106,0
Santana,15,14,1,42,38,4,16,16,0
São Vicente,16,15,1,29,29,0,13,13,0
Porto Santo,11,9,2,30,20,10,17,17,0
