,Total (€),"Main occupation, Managers (€)","Main occupation, Professionals (€)","Main occupation, Technicians and associate professionals (€)","Main occupation, Clerical support workers (€)","Main occupation, Service and sale workers (€)","Main occupation, Skilled agricultural, forestry, and fishery workers (€)","Main occupation, Craft and related trades workers (€)","Main occupation, Plant and machine operators, and assemblers (€)","Main occupation, Elementary occupations (€)"
Cinfães,1138.32,1329.69,1307.63,1373.7,970.35,835.38,774.19,1212.77,1147.07,928.78
Felgueiras,955.62,1830.74,1426.27,1290.32,1061.32,899.28,808.16,879.36,843.4,813.09
Lousada,927.68,1689.57,1362.72,1142.63,937.03,836.78,747.23,865.88,856.25,832.66
Marco de Canaveses,959.94,1465.12,1302.13,1111.42,967.32,842.55,804.04,939.28,892.57,812.37
Paços de Ferreira,957.53,1501.15,1369.95,1287.7,998.74,888.89,889.2,847.72,836.92,859.54
Penafiel,1063.68,1720.57,1953.12,1310.88,974.08,867.29,759.27,904.06,871.13,834.6
Resende,973.82,1312.68,1218.44,951.6,919.22,773.5,773.57,1208.98,878.47,815.9
Douro,1031.52,1763.38,1638.38,1214.58,1009.13,844.76,831.41,888.16,962.56,815.29
Alijó,987.07,1348.9,1524.63,1245.25,1003.79,827.97,954.87,791.52,1007.66,842.34
Armamar,970.92,1386.96,1494.34,1001.15,1085.93,855.86,772.37,1077.72,870.63,766.88
Carrazeda de Ansiães,919.82,1416.07,1484.81,991.57,1038.24,784.99,871.73,817.43,966.71,778.79
Freixo de Espada à Cinta,932,1341.72,1396.26,1089.86,1004.81,814.35,826.02,792.59,895.64,754.7
Lamego,984.52,1946.39,1366.25,1176.17,1025.66,853.37,809.96,864.41,970.76,797.43
Mesão Frio,982.66,1255.85,1170.66,1545.51,877.93,779.6,779.95,1151.32,1116.79,907.24
Moimenta da Beira,920.82,1647.23,1195.51,1016.6,1019.1,768.97,779.19,832.91,867.79,792.55
Murça,961.41,1733.26,1348.68,1058.34,982.32,839.25,787.74,818.68,958.69,820.48
Penedono,857.21,1112.49,1249.47,924.88,983.35,773.73,778.9,811.65,848.22,764.89
Peso da Régua,1042.77,1771.27,1449.15,1413.96,1041.85,864.68,837.28,974.04,1088.13,767.22
Sabrosa,1037.62,1916.15,1458.4,1250.83,1027.7,843.19,903.62,796.27,1046.86,930.88
Santa Marta de Penaguião,897.89,1612.64,1224.85,1034.25,999.65,793.19,831.24,760.79,1027.16,754.28
São João da Pesqueira,1015.81,1876.47,1466.53,1280.26,1071.45,890.9,828.72,845.37,882.19,868.53
Sernancelhe,906.36,1186.62,1259.58,1120.98,960.81,769.25,784.51,798.21,922.08,779.21
Tabuaço,1023.68,1617.81,1631.41,1260.03,1227.54,799.37,917.75,828.45,934.67,793.89
Tarouca,908.15,1517.85,1223.17,1171.77,869.38,777.57,827.55,898.35,846.85,796.11
Torre de Moncorvo,933.46,1328.73,1469.77,1057.33,998.91,777.06,857.37,857.15,922.82,762.07
Vila Nova de Foz Côa,992.61,1539.77,1413.17,1087.77,1007.92,797.55,833.07,1030.75,1060.02,888.93
Vila Real,1140.47,2130.36,1884.93,1246.07,998.02,876.57,758.31,902.14,969.68,840.04
Terras de Trás-os-Montes,1021.88,1644.47,1613.75,1191.99,990.64,840.03,817.08,898.23,921.73,821.44
Alfândega da Fé,925.34,1451.55,1408.06,958.35,940.49,847.77,807.68,824.31,967.64,772.04
Bragança,1088.2,1897.21,1730.8,1286.67,1001.06,860.53,782.71,921.69,905.74,818.14
Macedo de Cavaleiros,979.76,1381.3,1566.46,1184.23,986.42,809.14,790,863.76,948.34,808.51
Miranda do Douro,934.9,1166.67,1372.47,1313.36,996.14,809.17,773.57,870.92,852.17,805.23
Mirandela,1032.14,1983.62,1553.76,1136.25,1015.71,876.02,886.37,917.23,898.85,821.43
Mogadouro,938.16,1252.08,1347,1017.44,966.34,759.57,826.55,910.53,1170.15,789.91
Vila Flor,979.21,2893.36,1440.8,1214.06,988.78,802.85,859.28,940.26,939.81,884.68
Vimioso,893.87,1116.33,1317.42,981.97,928.19,759.45,711.35,808.57,785.74,817.35
Vinhais,889.96,1560.19,1523.31,975.96,884.27,791.95,774.5,775.13,984.07,768.59
Centro,1147.11,2178.78,1675.76,1393.57,1078.9,893.18,935.34,1031.62,1123.06,873.21
Oeste,1106.76,2047.8,1587.05,1393.87,1061.84,893.54,1013.68,997.91,1127.6,856.42
